fbGroup, lat, lon 
Boston Hassle, 42.3955319824, -71.1219198713, 2014-11-30T20:00:00-0500 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-11-25T20:00:00-0500 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-11-24T20:00:00-0500 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-11-23T16:00:00-0500 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-11-22T16:00:00-0500 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-11-22T21:00:00-0500 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-11-19T20:30:00-0500 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-12-06T21:00:00-0500 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-11-18T20:00:00-0500 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-11-16T16:00:00-0500 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-11-16T21:00:00-0500 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-11-15T21:00:00-0500 
Boston Hassle, 42.305196, -71.11445, 2014-11-13T21:00:00-0500 
Boston Hassle, 39.7703393332, -86.0732812669, 2014-11-14T18:00:00-0500 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-11-11T21:00:00-0500 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-11-09T18:30:00-0500 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-11-08T16:00:00-0500 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-11-07T21:30:00-0500 
Boston Hassle, 42.3955319824, -71.1219198713, 2014-11-19T20:00:00-0500 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-11-05T20:00:00-0500 
Boston Hassle, 42.3736395046, -71.1000108605, 2014-11-01T19:00:00-0400 
Boston Hassle, 42.3736395046, -71.1000108605, 2014-11-01T19:00:00-0400 
Boston Hassle, 42.3736395046, -71.1000108605, 2014-11-01T19:00:00-0400 
Boston Hassle, 42.3736395046, -71.1000108605, 2014-11-01T19:00:00-0400 
Boston Hassle, 42.3736395046, -71.1000108605, 2014-11-01T19:00:00-0400 
Boston Hassle, 42.3736395046, -71.1000108605, 2014-11-01T19:00:00-0400 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-11-01T21:00:00-0400 
Boston Hassle, 42.3736395046, -71.1000108605, 2014-10-30T22:00:00-0400 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-10-31T21:00:00-0400 
Boston Hassle, 42.305196, -71.11445, 2014-11-09T20:00:00-0500 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-10-29T20:00:00-0400 
Boston Hassle, 42.4074583539, -71.1193531716, 2014-10-29T21:00:00-0400 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-10-28T20:00:00-0400 
Boston Hassle, 42.372425, -71.099625, 2014-11-12T20:00:00-0500 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-10-26 
Boston Hassle, 42.313612, -71.224904, 2014-11-06T19:30:00-0500 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-10-25T21:00:00-0400 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-10-24T20:30:00-0400 
Boston Hassle, 42.3736395046, -71.1000108605, 2014-11-01T22:00:00-0400 
Boston Hassle, 42.31276, -71.1052, 2014-10-22T20:00:00-0400 
Boston Hassle, 42.4215645618, -71.0962243712, 2014-10-23T19:00:00-0400 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-10-21T20:00:00-0400 
Boston Hassle, 42.3648677305, -71.1002214554, 2014-10-26T11:00:00-0400 
Boston Hassle, 42.3511586153, -71.063211, 2014-10-25T20:00:00-0400 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-10-19T15:00:00-0400 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-10-17T20:00:00-0400 
Boston Hassle, 42.3636033328, -71.1017284219, 2014-10-16T19:30:00-0400 
Boston Hassle, 42.313612, -71.224904, 2014-10-18T19:30:00-0400 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-12-06T21:00:00-0500 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-10-15T20:00:00-0400 
Boston Hassle, 42.3648677305, -71.1002214554, 2014-10-26T11:00:00-0400 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-10-14T20:00:00-0500 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-10-12T16:00:00-0400 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-10-11T21:00:00-0400 
Boston Hassle, 42.313612, -71.224904, 2014-10-10T19:30:00-0400 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-10-21T20:00:00-0400 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-10-19T21:00:00-0400 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-10-07T21:00:00-0400 
Boston Hassle, 42.3063498826, -71.1075636012, 2014-10-06T20:00:00-0400 
Boston Hassle, 42.372425, -71.099625, 2014-10-08T20:00:00-0400 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-10-05T21:00:00-0400 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-10-04T16:00:00-0400 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-10-05T21:00:00-0400 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-09-30T20:00:00-0400 
Boston Hassle, 42.3063480898, -71.1076025885, 2014-09-29T20:00:00-0400 
