Shuffle ID,Group ID,Post ID,https://www.facebook.com/Group ID_Post ID
862,301986473149390,922077531140278,https://www.facebook.com/301986473149390_922077531140278
1833,57795809271,10151683661229272,https://www.facebook.com/57795809271_10151683661229272
447,301986473149390,967364336611597,https://www.facebook.com/301986473149390_967364336611597
1454,301986473149390,951214778226553,https://www.facebook.com/301986473149390_951214778226553
321,301986473149390,10152618547615783,https://www.facebook.com/301986473149390_10152618547615783
1121,301986473149390,964818253532872,https://www.facebook.com/301986473149390_964818253532872
977,57795809271,10151703456684272,https://www.facebook.com/57795809271_10151703456684272
1495,301986473149390,960243027323728,https://www.facebook.com/301986473149390_960243027323728
1442,57795809271,10152553998649272,https://www.facebook.com/57795809271_10152553998649272
1056,57795809271,10152549567024272,https://www.facebook.com/57795809271_10152549567024272
1698,57795809271,10151762601654272,https://www.facebook.com/57795809271_10151762601654272
